accession	strain	collection_date	country	host
NZ_CP016358	K-15KW01	2015	Switzerland	Homo sapiens
NZ_CP016497	UPEC 26-1	2012	South Korea	Homo sapiens
NZ_CP016497	UPEC 26-1	2012	South Korea	Homo sapiens
NZ_CP016625	FRIK944	2014	USA	Bos taurus
NZ_CP016625	FRIK944	2014	USA	Bos taurus
NZ_CP012693	FORC_028	2003	South Korea	Homo sapiens
NZ_CP014670	CFSAN004177	2004	USA	Homo sapiens
NZ_CP014670	CFSAN004177	2004	USA	Homo sapiens
NZ_CP014670	CFSAN004177	2004	USA	Homo sapiens
NZ_CP014670	CFSAN004177	2004	USA	Homo sapiens
NZ_CP015834	MS6198	unknown	United Kingdom	Homo sapiens
NZ_CP015834	MS6198	unknown	United Kingdom	Homo sapiens
NZ_CP015834	MS6198	unknown	United Kingdom	Homo sapiens
NZ_CP015834	MS6198	unknown	United Kingdom	Homo sapiens
NZ_CP015834	MS6198	unknown	United Kingdom	Homo sapiens
NZ_CP017100	K-12 NEB 5-alpha	2016	USA	unknown
NZ_CP016404	210221272	unknown	unknown	unknown
NZ_CP016404	210221272	unknown	unknown	unknown
NZ_CP017434	1130	2003	USA	unknown
NZ_CP017434	1130	2003	USA	unknown
NZ_CP017436	2149	2003	USA	unknown
NZ_CP017436	2149	2003	USA	unknown
NZ_CP017444	8368	2003	Canada	unknown
NZ_CP017444	8368	2003	Canada	unknown
NZ_CP017446	9234	2003	USA	unknown
NZ_CP017446	9234	2003	USA	unknown
NZ_CP017440	3384	2003	USA	unknown
NZ_CP017440	3384	2003	USA	unknown
NZ_CP017442	4276	2003	USA	unknown
NZ_CP017442	4276	2003	USA	unknown
NZ_CP017251	NADC 5570/86-24/6564	unknown	unknown	unknown
NZ_CP017251	NADC 5570/86-24/6564	unknown	unknown	unknown
NZ_CP013483	Y5	2013	China	Homo sapiens
NZ_CP017669	PA20	2008	USA	unknown
NZ_CP017669	PA20	2008	USA	unknown
NZ_CP018115	MRSN346638	2016	USA	Homo sapiens
NZ_CP018115	MRSN346638	2016	USA	Homo sapiens
NZ_CP018115	MRSN346638	2016	USA	Homo sapiens
NZ_CP018115	MRSN346638	2016	USA	Homo sapiens
NZ_CP018115	MRSN346638	2016	USA	Homo sapiens
NZ_CP018115	MRSN346638	2016	USA	Homo sapiens
NZ_CP018121	MRSN346355	2016	USA	Homo sapiens
NZ_CP018121	MRSN346355	2016	USA	Homo sapiens
NZ_CP018121	MRSN346355	2016	USA	Homo sapiens
NZ_CP018121	MRSN346355	2016	USA	Homo sapiens
NZ_CP018121	MRSN346355	2016	USA	Homo sapiens
NZ_CP018121	MRSN346355	2016	USA	Homo sapiens
NZ_CP018109	MRSN346595	2016	USA	Homo sapiens
NZ_CP018109	MRSN346595	2016	USA	Homo sapiens
